Scope,Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
Overall,subject_lora_rank4,SBP,3.905610938981241,0.924855965946525,0.0683485646761666,5.801130257446319,74.0565577766943,92.98756704046806,97.47074597757192,PASS*,PASS (Grade A)*
Overall,subject_lora_rank4,DBP,2.1890320830900807,0.9209009544323172,-0.0976042419686542,3.60620698684481,91.2006338371526,98.20453437347636,99.36981960019504,PASS*,PASS (Grade A)*
Overall,shared_lora_rank4,SBP,7.86252003125247,0.7345218476449205,-0.5334316988330768,10.891548809011992,45.02194051682106,72.31472452462214,86.28961482203803,FAIL*,FAIL (Grade C)*
Overall,shared_lora_rank4,DBP,4.282639726808977,0.767362140820468,-0.3757473403450804,6.175352833380749,69.64895173086299,91.37737688932228,97.30984885421744,PASS*,PASS (Grade A)*
Overall,subject_lora_rank1,SBP,4.205213930966039,0.9157305941761662,0.1756288234109939,6.1411957819132885,70.94466114090687,91.78815212091662,97.13310580204778,PASS*,PASS (Grade A)*
Overall,subject_lora_rank1,DBP,2.3865742177977207,0.9089482424177304,-0.1414289892504472,3.867925332255731,89.67942467089225,97.95099951243296,99.247927840078,PASS*,PASS (Grade A)*
Overall,output_profile32,SBP,5.249173912009281,0.8740885693906175,-0.1577833479291226,7.508137303016639,61.49683081423696,86.7357386640663,94.90370550950756,PASS*,PASS (Grade B)*
Overall,output_profile32,DBP,2.914125496907562,0.8772845454648739,-0.1905502123114308,4.489343255666197,84.37469527059972,96.86128717698683,98.9870794734276,PASS*,PASS (Grade A)*
Overall,feature_affine32,SBP,4.802549453923204,0.8928564109494374,0.2377446565204919,6.923452147750018,65.3473915163335,88.94929302779133,95.98366650414432,PASS*,PASS (Grade A)*
Overall,feature_affine32,DBP,2.6734689240337057,0.893179826177054,-0.1354566133062994,4.190094920241762,86.79058995611896,97.38054607508532,99.1175036567528,PASS*,PASS (Grade A)*
Overall,shared_bilinear32,SBP,4.4605490579888745,0.905869237023049,-0.225619525249152,6.489316585691525,68.58971233544612,90.66431009263772,96.6662603607996,PASS*,PASS (Grade A)*
Overall,shared_bilinear32,DBP,2.513695274917513,0.9024126498925672,-0.0711791921743005,4.006381244763951,88.6189663578742,97.74987810823988,99.21379814724524,PASS*,PASS (Grade A)*
Overall,shared_bilinear64,SBP,4.254327067324501,0.9130020946897532,0.1380652778268383,6.240848672502068,70.59970745977571,91.53827401267677,96.99536811311556,PASS*,PASS (Grade A)*
Overall,shared_bilinear64,DBP,2.393461965968236,0.9095247026198948,-0.1430795020675845,3.8555844090676414,89.5014627011214,97.93637250121893,99.25402242808389,PASS*,PASS (Grade A)*
Overall,subject_nonlinear_rank4,SBP,3.9230848354226144,0.9228277415082516,-0.0570857036410163,5.879029474815576,74.15407118478791,92.71331058020478,97.42198927352511,PASS*,PASS (Grade A)*
Overall,subject_nonlinear_rank4,DBP,2.182005120416434,0.9201764124060046,-0.1402127743232314,3.621298854617591,91.1555338859093,98.18381277425648,99.37591418820088,PASS*,PASS (Grade A)*
