Scope,Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
Overall,lora_continue,SBP,4.777301552538637,0.8804092361721448,0.2060147503072142,7.105433762220466,67.206240858118,88.13383715260848,95.17308629936616,PASS*,PASS (Grade A)*
Overall,lora_continue,DBP,2.64746613746617,0.8762196704472955,0.0648715308443736,4.375717509513464,85.86055582642614,96.76133593369087,98.89566065333985,PASS*,PASS (Grade A)*
Overall,lora_prs_bias,SBP,4.777903683623821,0.8804724813862963,0.2146915894726437,7.103296140565646,67.12213554363726,88.14480741101902,95.17308629936616,PASS*,PASS (Grade A)*
Overall,lora_prs_bias,DBP,2.649088449259609,0.8762336536367725,0.0706561826020551,4.375380700487141,85.86299366162848,96.76743052169672,98.89931740614335,PASS*,PASS (Grade A)*
Overall,lora_prs_dynamic,SBP,4.774323027893022,0.8805835373687114,0.094649850491022,7.102607048967126,67.14529497805948,88.19843978547051,95.14992686494394,PASS*,PASS (Grade A)*
Overall,lora_prs_dynamic,DBP,2.6516562641335373,0.8758854291749284,0.0642272003449096,4.381632142089417,85.87518283764017,96.73817649926865,98.8846903949293,PASS*,PASS (Grade A)*
Overall,lora_prs_dynamic_shrink,SBP,4.776055843570882,0.8806185469442198,0.0920992646201071,7.101599181176097,67.09897610921502,88.16796684544124,95.16211604095564,PASS*,PASS (Grade A)*
Overall,lora_prs_dynamic_shrink,DBP,2.649610120735187,0.8761071388013391,0.0648960206986403,4.377706166156245,85.90565577766944,96.75158459288151,98.88956606533398,PASS*,PASS (Grade A)*
Overall,lora_prs_dynamic_frozen,SBP,4.8101017314942505,0.8795032004911061,0.0946496046095113,7.1346683285900365,66.81740614334471,88.05826426133594,95.1389566065334,PASS*,PASS (Grade A)*
Overall,lora_prs_dynamic_frozen,DBP,2.668332201931199,0.8746383957121725,0.1075056116038098,4.402749937669266,85.66674792784008,96.71989273525112,98.88834714773282,PASS*,PASS (Grade A)*
