Setting,BP,MAE,R²,ME,STD,≤5 mmHg (%),≤10 mmHg (%),≤15 mmHg (%),AAMI,BHS,Method,K,MAE seed SD,R² seed SD,ME seed SD,STD seed SD,≤5 mmHg (%) seed SD,≤10 mmHg (%) seed SD,≤15 mmHg (%) seed SD,Participant-macro MAE,Participant-macro MAE seed SD,N seeds,N participants,N query events per seed,Aggregation,Standards scope
B0 Population BP mean (K=1),SBP,17.977358,-0.003915,1.377400,22.014777,15.984319,31.902978,47.190143,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",population_mean,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.380697,0.000000,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B0 Population BP mean (K=1),DBP,10.198625,-0.000694,-0.346821,13.165570,29.949596,57.974779,77.576185,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",population_mean,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.858857,0.000000,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B0 Population BP mean (K=2),SBP,17.977358,-0.003915,1.377400,22.014777,15.984319,31.902978,47.190143,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",population_mean,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.380697,0.000000,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B0 Population BP mean (K=2),DBP,10.198625,-0.000694,-0.346821,13.165570,29.949596,57.974779,77.576185,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",population_mean,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.858857,0.000000,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B0 Population BP mean (K=3),SBP,17.977358,-0.003915,1.377400,22.014777,15.984319,31.902978,47.190143,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",population_mean,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.380697,0.000000,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B0 Population BP mean (K=3),DBP,10.198625,-0.000694,-0.346821,13.165570,29.949596,57.974779,77.576185,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",population_mean,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.858857,0.000000,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B0 Population BP mean (K=5),SBP,17.977358,-0.003915,1.377400,22.014777,15.984319,31.902978,47.190143,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",population_mean,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.380697,0.000000,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B0 Population BP mean (K=5),DBP,10.198625,-0.000694,-0.346821,13.165570,29.949596,57.974779,77.576185,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",population_mean,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.858857,0.000000,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B1 Last-cuff persistence (K=1),SBP,18.831464,-0.317668,0.197679,25.269931,20.264764,38.195705,52.491213,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",last_cuff,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.369449,0.000000,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B1 Last-cuff persistence (K=1),DBP,10.694021,-0.252904,0.593763,14.724675,34.930092,59.223282,75.389131,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",last_cuff,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.676897,0.000000,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B1 Last-cuff persistence (K=2),SBP,18.104333,-0.188872,1.058608,23.980546,20.415395,38.686223,53.609362,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",last_cuff,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.034405,0.000000,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B1 Last-cuff persistence (K=2),DBP,10.376849,-0.118702,0.572861,13.913263,34.736974,59.513924,76.131667,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",last_cuff,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.616320,0.000000,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B1 Last-cuff persistence (K=3),SBP,17.364332,-0.084229,-0.034686,22.923150,21.124136,39.674984,54.831795,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",last_cuff,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.855551,0.000000,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B1 Last-cuff persistence (K=3),DBP,9.958043,-0.053908,0.325954,13.511844,36.671044,61.846781,77.681434,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",last_cuff,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.130924,0.000000,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B1 Last-cuff persistence (K=5),SBP,17.139782,-0.076769,-0.690510,22.833743,22.469198,41.104052,56.250241,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",last_cuff,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.418218,0.000000,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B1 Last-cuff persistence (K=5),DBP,9.967192,-0.054651,0.013503,13.520537,36.669113,61.533931,77.162914,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",last_cuff,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.047688,0.000000,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B2 Support-BP mean (K=1),SBP,18.831464,-0.317668,0.197679,25.269931,20.264764,38.195705,52.491213,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",support_mean,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.369449,0.000000,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B2 Support-BP mean (K=1),DBP,10.694021,-0.252904,0.593763,14.724675,34.930092,59.223282,75.389131,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",support_mean,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.676897,0.000000,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B2 Support-BP mean (K=2),SBP,17.815870,-0.160980,0.628144,23.712336,21.036267,39.583253,54.543084,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",support_mean,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.636259,0.000000,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B2 Support-BP mean (K=2),DBP,10.119607,-0.080558,0.583312,13.673158,36.094589,60.828087,76.935035,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",support_mean,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.503751,0.000000,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B2 Support-BP mean (K=3),SBP,17.165935,-0.070764,0.407200,22.776752,21.786528,40.778649,55.640956,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",support_mean,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.603542,0.000000,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B2 Support-BP mean (K=3),DBP,9.772298,-0.009294,0.497526,13.217246,37.243637,62.276467,78.226990,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",support_mean,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.906004,0.000000,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B2 Support-BP mean (K=5),SBP,16.487172,0.011048,-0.030519,21.892804,22.783013,42.216407,57.202310,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",support_mean,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.502776,0.000000,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B2 Support-BP mean (K=5),DBP,9.412464,0.048866,0.268849,12.837054,38.690085,64.315785,79.714959,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",support_mean,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.393494,0.000000,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B3 Population PPG network (K=1),SBP,15.190789,0.207129,-1.328080,19.546564,21.628172,41.811440,59.004287,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",population,1,0.185698,0.022213,0.700465,0.225175,0.271724,0.314276,0.601839,14.632401,0.101541,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B3 Population PPG network (K=1),DBP,9.218700,0.155090,-0.227856,12.075321,34.107605,63.254026,82.165617,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",population,1,0.106247,0.030617,0.833993,0.188168,0.565366,0.397505,0.386401,8.787423,0.043182,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B3 Population PPG network (K=2),SBP,15.190789,0.207129,-1.328080,19.546564,21.628172,41.811440,59.004287,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",population,2,0.185698,0.022213,0.700465,0.225175,0.271724,0.314276,0.601839,14.632401,0.101541,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B3 Population PPG network (K=2),DBP,9.218700,0.155090,-0.227856,12.075321,34.107605,63.254026,82.165617,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",population,2,0.106247,0.030617,0.833993,0.188168,0.565366,0.397505,0.386401,8.787423,0.043182,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B3 Population PPG network (K=3),SBP,15.190789,0.207129,-1.328080,19.546564,21.628172,41.811440,59.004287,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",population,3,0.185698,0.022213,0.700465,0.225175,0.271724,0.314276,0.601839,14.632401,0.101541,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B3 Population PPG network (K=3),DBP,9.218700,0.155090,-0.227856,12.075321,34.107605,63.254026,82.165617,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",population,3,0.106247,0.030617,0.833993,0.188168,0.565366,0.397505,0.386401,8.787423,0.043182,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B3 Population PPG network (K=5),SBP,15.190789,0.207129,-1.328080,19.546564,21.628172,41.811440,59.004287,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",population,5,0.185698,0.022213,0.700465,0.225175,0.271724,0.314276,0.601839,14.632401,0.101541,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B3 Population PPG network (K=5),DBP,9.218700,0.155090,-0.227856,12.075321,34.107605,63.254026,82.165617,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",population,5,0.106247,0.030617,0.833993,0.188168,0.565366,0.397505,0.386401,8.787423,0.043182,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B4 Residual-offset correction (K=1),SBP,16.538300,0.020206,1.465264,21.735752,21.429261,40.827121,56.648642,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",residual_offset,1,0.257123,0.025912,0.499287,0.292141,0.421770,0.649670,0.691440,15.902472,0.125843,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B4 Residual-offset correction (K=1),DBP,9.306503,0.064922,0.442290,12.721820,37.831100,64.600440,80.949558,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",residual_offset,1,0.170874,0.029211,0.090220,0.200720,1.004312,0.926150,0.544125,8.751011,0.151026,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B4 Residual-offset correction (K=2),SBP,15.530092,0.136004,2.008067,20.358146,22.958557,43.408520,59.546367,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",residual_offset,2,0.233060,0.026481,0.456701,0.321574,0.425677,0.464703,0.466371,14.462608,0.147482,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B4 Residual-offset correction (K=2),DBP,8.781725,0.178051,0.502057,11.922944,39.899965,66.920165,82.518829,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",residual_offset,2,0.216830,0.036015,0.095801,0.260590,1.124744,1.153574,0.786182,7.938161,0.167655,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B4 Residual-offset correction (K=3),SBP,14.941930,0.200073,1.967622,19.583827,23.610521,44.671701,61.029122,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",residual_offset,3,0.239722,0.027544,0.491309,0.342591,0.466065,0.517476,0.508781,13.744694,0.161962,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B4 Residual-offset correction (K=3),DBP,8.382251,0.249522,0.483874,11.392809,41.384072,68.814453,84.210730,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=1, D=4)",residual_offset,3,0.202400,0.030751,0.100270,0.234099,1.141624,1.109556,0.713229,7.504090,0.178798,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B4 Residual-offset correction (K=5),SBP,14.334995,0.257895,1.556729,18.894973,24.629601,46.270905,62.895021,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",residual_offset,5,0.193337,0.023079,0.433294,0.291488,0.311416,0.381254,0.482672,12.871621,0.160261,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B4 Residual-offset correction (K=5),DBP,7.994849,0.307700,0.388329,10.945272,43.271793,70.963462,85.730949,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=5, D=0)",residual_offset,5,0.195595,0.028795,0.091743,0.227556,1.097614,1.082458,0.658726,7.030778,0.173288,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B6 Head-only adaptation (K=1),SBP,14.712105,0.257270,-0.102421,18.970584,22.977483,43.465683,60.213781,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",head,1,0.191540,0.016120,0.215468,0.205128,0.509213,0.789692,0.664959,14.100702,0.082528,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B6 Head-only adaptation (K=1),DBP,8.235467,0.296596,-0.060791,11.038987,40.457688,68.984975,85.330037,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=2, D=3)",head,1,0.066669,0.013683,0.250890,0.107356,0.393886,0.479015,0.522853,7.824419,0.071204,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B6 Head-only adaptation (K=2),SBP,14.306972,0.290258,0.698023,18.531622,23.596230,44.819242,61.870727,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",head,2,0.191418,0.017136,0.194211,0.218640,0.446801,0.792895,0.699582,13.437863,0.087594,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B6 Head-only adaptation (K=2),DBP,8.091894,0.312982,0.203864,10.909304,41.388513,70.012360,85.902051,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=5, D=0)",head,2,0.078316,0.012209,0.158594,0.098249,0.775504,0.666025,0.425164,7.506965,0.099408,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B6 Head-only adaptation (K=3),SBP,14.005968,0.316357,0.711243,18.186335,24.162837,45.686339,62.908926,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",head,3,0.199177,0.018428,0.204992,0.238420,0.419382,0.750942,0.793791,12.999168,0.121159,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B6 Head-only adaptation (K=3),DBP,7.883833,0.340292,0.242033,10.689575,42.661350,71.367850,86.763740,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=5, D=0)",head,3,0.085823,0.009589,0.150265,0.079658,0.924021,0.614273,0.363730,7.210738,0.127655,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B6 Head-only adaptation (K=5),SBP,13.525888,0.351698,0.531971,17.716386,25.549998,47.700166,64.841064,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",head,5,0.109901,0.012249,0.177951,0.162992,0.324807,0.358123,0.293644,12.289150,0.106361,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B6 Head-only adaptation (K=5),DBP,7.688010,0.368368,0.235701,10.459157,43.590437,72.429995,87.666564,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=5, D=0)",head,5,0.096290,0.009629,0.184753,0.082109,0.954020,0.576226,0.380856,6.886198,0.127941,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B7 Full-network adaptation (K=1),SBP,18.819717,-0.315192,0.177101,25.245742,20.269206,38.201112,52.441003,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",full,1,0.058490,0.007629,0.176801,0.073540,0.134025,0.164945,0.204803,19.348236,0.055790,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B7 Full-network adaptation (K=1),DBP,10.738770,-0.259502,0.555485,14.764797,34.773280,59.066664,75.202773,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",full,1,0.040910,0.008118,0.057741,0.046987,0.225510,0.245447,0.205795,10.735568,0.050604,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B7 Full-network adaptation (K=2),SBP,17.819661,-0.157244,0.467782,23.676592,20.870187,39.520104,54.359237,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",full,2,0.167866,0.018957,0.189914,0.194619,0.344776,0.441724,0.483890,17.397357,0.194242,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B7 Full-network adaptation (K=2),DBP,10.123714,-0.078848,0.459370,13.666582,35.925804,60.725349,76.937353,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",full,2,0.088131,0.018718,0.043382,0.118089,0.290135,0.352238,0.346207,9.366310,0.104982,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B7 Full-network adaptation (K=3),SBP,17.130046,-0.065913,0.250621,22.726519,21.548994,40.608319,55.633618,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",full,3,0.095034,0.013399,0.160928,0.144765,0.127850,0.147911,0.089453,16.277397,0.207150,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B7 Full-network adaptation (K=3),DBP,9.717152,-0.003407,0.367744,13.182393,37.407786,62.663281,78.599900,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",full,3,0.051821,0.015173,0.070823,0.100348,0.218388,0.224581,0.240170,8.762376,0.150400,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B7 Full-network adaptation (K=5),SBP,16.519161,0.000533,0.038156,22.007606,22.872620,42.415511,57.434437,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",full,5,0.143114,0.015921,0.197539,0.175513,0.282038,0.335795,0.369067,15.345857,0.219411,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B7 Full-network adaptation (K=5),DBP,9.397869,0.046027,0.249926,12.856276,38.986327,64.413503,79.709165,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",full,5,0.068354,0.014281,0.029441,0.095837,0.232768,0.243108,0.263691,8.338601,0.122980,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B8 LoRA adaptation (K=1),SBP,14.079081,0.321029,-1.002561,18.107611,23.740489,45.170909,62.034877,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",lora,1,0.170139,0.017167,0.409926,0.219822,0.456558,0.651582,0.515978,13.469767,0.117472,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
